Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count
3123,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaHCO3,2.5,MeCN,15.6064724,1635639.75
3124,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaHCO3,2.5,MeCN,13.44560806,2647783
3125,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaHCO3,2.5,MeCN,11.62825419,1246817
3126,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaHCO3,2.5,MeCN,11.83060176,963642.0625
3127,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaHCO3,2.5,MeCN,15.68005035,994668.5625
3128,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,SPhos,0.125,NaHCO3,2.5,MeCN,10.53714025,947374.3125
3129,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaHCO3,2.5,MeCN,14.12697218,1113634.375
3130,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,XPhos,0.125,NaHCO3,2.5,MeCN,12.74784155,502805.75
3131,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dppf,0.125,NaHCO3,2.5,MeCN,15.54203425,1178173.25
3132,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaHCO3,2.5,MeCN,12.2513383,226199.5
3133,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,None,,Et3N,2.5,MeCN,14.71165159,905549.125
3134,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,Et3N,2.5,MeCN,12.96029717,1214153.5
3135,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,Et3N,2.5,MeCN,16.54181835,1469834.25
3136,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,AmPhos,0.125,Et3N,2.5,MeCN,12.96837921,1206403.75
3137,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,Et3N,2.5,MeCN,10.41344732,303500.1563
3138,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,Et3N,2.5,MeCN,13.93315164,1195482.375
3139,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,CataCXium A,0.125,Et3N,2.5,MeCN,12.91730392,820787.3125
3140,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,SPhos,0.125,Et3N,2.5,MeCN,9.893744129,225419.5313
3141,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dtbpf,0.125,Et3N,2.5,MeCN,11.94296706,454159.1875
3142,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,XPhos,0.125,Et3N,2.5,MeCN,12.12391152,270831.875
3143,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dppf,0.125,Et3N,2.5,MeCN,18.50125891,990172.8125
3144,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,Xantphos,0.125,Et3N,2.5,MeCN,13.21119388,68846.91406
3145,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,None,,CsF,2.5,MeCN,13.19923887,181240.5469
3146,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,CsF,2.5,MeCN,10.08104323,610832.375
3147,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,CsF,2.5,MeCN,15.55777739,1847240.5
3148,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,AmPhos,0.125,CsF,2.5,MeCN,13.247859,2299888.75
3149,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,CsF,2.5,MeCN,10.22274435,183897.7188
3150,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,CsF,2.5,MeCN,13.25483499,640022
3151,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,CataCXium A,0.125,CsF,2.5,MeCN,14.27238707,962835.6875
3152,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,SPhos,0.125,CsF,2.5,MeCN,11.93255426,587183.8125
3153,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dtbpf,0.125,CsF,2.5,MeCN,13.02262101,791283.1875
3154,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,XPhos,0.125,CsF,2.5,MeCN,12.18947427,195752.8281
3155,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dppf,0.125,CsF,2.5,MeCN,16.03115832,749799.875
3156,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,Xantphos,0.125,CsF,2.5,MeCN,12.88355018,119546.9609
3157,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,None,,K3PO4,2.5,MeCN,11.95802964,375566.5
3158,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,K3PO4,2.5,MeCN,11.11803133,687662.1875
3159,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,K3PO4,2.5,MeCN,15.94756286,1159238.5
3160,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,AmPhos,0.125,K3PO4,2.5,MeCN,13.50830554,2158973.25
3161,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,K3PO4,2.5,MeCN,11.89362545,238886.6875
3162,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,K3PO4,2.5,MeCN,13.54718221,917627.3125
3163,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,CataCXium A,0.125,K3PO4,2.5,MeCN,13.54724623,712731.25
3164,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,SPhos,0.125,K3PO4,2.5,MeCN,12.05424365,531670.3125
3165,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dtbpf,0.125,K3PO4,2.5,MeCN,12.44961156,1032334.25
3166,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,XPhos,0.125,K3PO4,2.5,MeCN,13.52055586,231965.6719
3167,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dppf,0.125,K3PO4,2.5,MeCN,17.66071619,799920.875
3168,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,Xantphos,0.125,K3PO4,2.5,MeCN,11.14425264,65083.71875
3169,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,None,,None,2.5,THF,24.9554862,1282826.5
3170,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,None,2.5,THF,14.00208186,339246.9063
3171,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,None,2.5,THF,47.59329204,7612245.5
3172,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,AmPhos,0.125,None,2.5,THF,23.86257085,3619789.75
3173,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,None,2.5,THF,60.56475047,14982233
3174,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,None,2.5,THF,20.0572498,1830291
3175,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,CataCXium A,0.125,None,2.5,THF,21.27859576,2355309.25
3176,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,SPhos,0.125,None,2.5,THF,24.09139532,6999209.5
3177,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dtbpf,0.125,None,2.5,THF,35.84713373,7565810
3178,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,XPhos,0.125,None,2.5,THF,30.49847335,8150250
3179,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dppf,0.125,None,2.5,THF,69.77711427,12133860
3180,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,Xantphos,0.125,None,2.5,THF,16.83891136,561999.1875
3181,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,None,,NaOH,2.5,THF,19.82496092,2780086.75
3182,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaOH,2.5,THF,21.09401307,820308.75
3183,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaOH,2.5,THF,70.54882046,16732631
3184,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaOH,2.5,THF,20.05787451,2010699.625
3185,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaOH,2.5,THF,40.01357122,9731031
3186,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaOH,2.5,THF,20.03228148,1615637.125
3187,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaOH,2.5,THF,23.23924457,3020051.75
3188,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,SPhos,0.125,NaOH,2.5,THF,22.40485824,2429034.75
3189,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaOH,2.5,THF,32.83757829,7909967.5
3190,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,XPhos,0.125,NaOH,2.5,THF,30.08807469,6818281.5
3191,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dppf,0.125,NaOH,2.5,THF,29.39852139,1862902.875
3192,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaOH,2.5,THF,17.23983593,393541.7188
3193,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,None,,KOH,2.5,THF,19.58693109,2104738
3194,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,KOH,2.5,THF,14.49243315,397814.1563
3195,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,KOH,2.5,THF,71.08995485,16260517
3196,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,AmPhos,0.125,KOH,2.5,THF,12.55325368,1760781.75
3197,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,KOH,2.5,THF,41.571451,10784423
3198,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,KOH,2.5,THF,17.53693785,1044269.25
3199,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,CataCXium A,0.125,KOH,2.5,THF,17.46254031,559863.6875
3200,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,SPhos,0.125,KOH,2.5,THF,16.59760711,1516811.25
3201,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dtbpf,0.125,KOH,2.5,THF,26.28662769,2931026.25
3202,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,XPhos,0.125,KOH,2.5,THF,18.4099755,2690132.25
3203,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dppf,0.125,KOH,2.5,THF,25.91887372,3075508.5
3204,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,Xantphos,0.125,KOH,2.5,THF,12.72502066,632710.375
3205,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,None,,LiOtBu,2.5,THF,19.59310402,2669987.25
3206,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,LiOtBu,2.5,THF,13.02914081,459927.9375
3207,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,LiOtBu,2.5,THF,60.46817859,11869890
3208,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,AmPhos,0.125,LiOtBu,2.5,THF,12.19856526,888735.75
3209,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,LiOtBu,2.5,THF,23.16763514,4225311
3210,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,LiOtBu,2.5,THF,14.54894353,1401743.625
3211,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,CataCXium A,0.125,LiOtBu,2.5,THF,13.74877023,628508.625
3212,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,SPhos,0.125,LiOtBu,2.5,THF,13.96190319,1722571.125
3213,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dtbpf,0.125,LiOtBu,2.5,THF,24.36310148,2004612.625
3214,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,XPhos,0.125,LiOtBu,2.5,THF,15.29039764,2486904
3215,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dppf,0.125,LiOtBu,2.5,THF,16.45426269,161815.7188
3216,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,Xantphos,0.125,LiOtBu,2.5,THF,12.2316858,725516.875
3217,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,None,,NaHCO3,2.5,THF,15.29304133,743205.25
3218,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaHCO3,2.5,THF,16.45267536,518359.6875
3219,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaHCO3,2.5,THF,53.53801996,10276525
3220,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaHCO3,2.5,THF,15.58922735,1701617.375
3221,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaHCO3,2.5,THF,44.32432613,8892188
3222,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaHCO3,2.5,THF,15.2149277,1451540.375
3223,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaHCO3,2.5,THF,24.96127832,2054202.875
3224,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,SPhos,0.125,NaHCO3,2.5,THF,15.4145394,1552451.375
3225,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaHCO3,2.5,THF,26.79603168,2840793.5
3226,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,XPhos,0.125,NaHCO3,2.5,THF,19.46837569,2801201.5
3227,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dppf,0.125,NaHCO3,2.5,THF,75.70319919,14548684
3228,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaHCO3,2.5,THF,13.91635988,688734.6875
3229,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,None,,Et3N,2.5,THF,17.10212484,1756646
3230,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,Et3N,2.5,THF,15.99845581,534420.8125
3231,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,Et3N,2.5,THF,44.24879826,10142075
3232,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,AmPhos,0.125,Et3N,2.5,THF,19.08912418,3239589.75
3233,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,Et3N,2.5,THF,61.14282733,12674671
3234,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,Et3N,2.5,THF,16.17336476,1497483.25
3235,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,CataCXium A,0.125,Et3N,2.5,THF,23.73977225,3343517.5
3236,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,SPhos,0.125,Et3N,2.5,THF,23.28051233,5972591
3237,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dtbpf,0.125,Et3N,2.5,THF,32.72019309,5369644.5
3238,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,XPhos,0.125,Et3N,2.5,THF,21.01534158,4146898.5
3239,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dppf,0.125,Et3N,2.5,THF,62.86326041,11320647
3240,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,Xantphos,0.125,Et3N,2.5,THF,14.93773642,763858.6875
3241,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,None,,CsF,2.5,THF,17.22560204,2898043.5
3242,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,CsF,2.5,THF,17.38631563,502803.9375
3243,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,CsF,2.5,THF,43.13433748,9490810
3244,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,AmPhos,0.125,CsF,2.5,THF,19.0715767,2723365
3245,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,CsF,2.5,THF,84.64044587,19188142
3246,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,CsF,2.5,THF,18.36483796,1711576.875
3247,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,CataCXium A,0.125,CsF,2.5,THF,29.11621251,2671944.75
3248,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,SPhos,0.125,CsF,2.5,THF,18.27300324,3796572.75
3249,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dtbpf,0.125,CsF,2.5,THF,35.74450457,7984152
3250,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,XPhos,0.125,CsF,2.5,THF,35.39156403,8751633
3251,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dppf,0.125,CsF,2.5,THF,62.70903132,9460699
3252,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,Xantphos,0.125,CsF,2.5,THF,13.45120206,578897.25
3253,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,None,,K3PO4,2.5,THF,29.55607793,4306906.5
3254,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,K3PO4,2.5,THF,20.98300518,668055.1875
3255,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,K3PO4,2.5,THF,42.26155119,10768531
3256,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,AmPhos,0.125,K3PO4,2.5,THF,18.05999541,3574963
3257,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,K3PO4,2.5,THF,71.95834946,17371626
3258,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,K3PO4,2.5,THF,16.84938322,2660460.25
3259,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,CataCXium A,0.125,K3PO4,2.5,THF,30.47826429,5469565
3260,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,SPhos,0.125,K3PO4,2.5,THF,24.69539468,4782992.5
3261,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,dtbpf,0.125,K3PO4,2.5,THF,32.0271475,6342952
3262,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2c, Trifluoroborate",1,Pd(OAc)2,0.0625,XPhos,0.125,K3PO4,2.5,THF,32.0663495,8386388.5
